time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
0.000000000000000000e+00,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319819999999954e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000000000000000e-01,5.371729469999999562e-01,7.500000000000000000e-01,5.371729469999999562e-01,4.199319869999999970e-09,4.199319869999999970e-09,4.199319869999999970e-09,4.199319869999999970e-09,4.199319869999999970e-09,4.199319869999999970e-09,4.199319869999999970e-09,4.199319869999999970e-09,4.293884990000000167e-09,4.293884990000000167e-09
9.999999999999999547e-07,3.300000000000000155e-02,3.299999999999999822e+00,3.299999999999999822e+00,4.199317579999999902e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000129999999654e-01,5.371729469999999562e-01,7.500000249999999591e-01,5.371729469999999562e-01,4.199330639999999764e-09,4.199330639999999764e-09,4.199330639999999764e-09,4.199330639999999764e-09,4.199330639999999764e-09,4.199330639999999764e-09,4.199330639999999764e-09,4.199330639999999764e-09,4.293884969999999665e-09,4.293884959999999827e-09
1.999999999999999909e-06,6.600000000000000311e-02,3.299999999999999822e+00,3.299999999999999822e+00,4.199315320000000174e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000249999999591e-01,5.371729469999999562e-01,7.500000500000000292e-01,5.371729469999999562e-01,4.199337869999999918e-09,4.199337869999999918e-09,4.199337869999999918e-09,4.199337869999999918e-09,4.199337869999999918e-09,4.199337869999999918e-09,4.199337869999999918e-09,4.199337869999999918e-09,4.293885080000000361e-09,4.293885080000000361e-09
3.999999999999999819e-06,1.320000000000000062e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199326940000000239e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500000500000000292e-01,5.371729469999999562e-01,7.500001010000000301e-01,5.371729469999999562e-01,4.199342330000000347e-09,4.199342330000000347e-09,4.199342330000000347e-09,4.199342330000000347e-09,4.199342330000000347e-09,4.199342330000000347e-09,4.199342330000000347e-09,4.199342330000000347e-09,4.293884199999999750e-09,4.293884189999999912e-09
7.999999999999999638e-06,2.640000000000000124e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199331930000000340e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500001010000000301e-01,5.371729469999999562e-01,7.500002009999999775e-01,5.371729480000000390e-01,4.199332800000000287e-09,4.199332800000000287e-09,4.199332800000000287e-09,4.199332800000000287e-09,4.199332800000000287e-09,4.199332800000000287e-09,4.199332800000000287e-09,4.199332800000000287e-09,4.293878679999999976e-09,4.293878670000000138e-09
1.599999999999999928e-05,5.280000000000000249e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199323690000000030e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500002009999999775e-01,5.371729490000000107e-01,7.500004019999999549e-01,5.371729520000000369e-01,4.199325930000000082e-09,4.199325930000000082e-09,4.199325930000000082e-09,4.199325930000000082e-09,4.199325930000000082e-09,4.199325930000000082e-09,4.199325930000000082e-09,4.199325930000000082e-09,4.293886279999999917e-09,4.293885290000000263e-09
3.199999999999999855e-05,1.056000000000000050e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199315139999999786e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500004019999999549e-01,5.371729560000000347e-01,7.500008040000000209e-01,5.371729650000000023e-01,4.199315499999999735e-09,4.199315499999999735e-09,4.199315499999999735e-09,4.199315499999999735e-09,4.199315499999999735e-09,4.199315499999999735e-09,4.199315499999999735e-09,4.199315499999999735e-09,4.293883410000000160e-09,4.293884220000000253e-09
6.399999999999999710e-05,2.112000000000000099e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199317350000000325e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500008040000000209e-01,5.371729720000000263e-01,7.500016080000000418e-01,5.371729969999999854e-01,4.199314360000000034e-09,4.199314360000000034e-09,4.199314360000000034e-09,4.199314360000000034e-09,4.199314360000000034e-09,4.199314360000000034e-09,4.199314360000000034e-09,4.199314360000000034e-09,4.293885190000000231e-09,4.293885879999999789e-09
1.000000000000000048e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320799999999770e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500012569999999767e-01,5.371729859999999634e-01,7.500025129999999818e-01,5.371730260000000534e-01,4.199324140000000173e-09,4.199324140000000173e-09,4.199324140000000173e-09,4.199324140000000173e-09,4.199324140000000173e-09,4.199324140000000173e-09,4.199324140000000173e-09,4.199324140000000173e-09,4.293880710000000126e-09,4.293881649999999764e-09
1.063999999999999977e-04,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199324939999999601e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.500013370000000457e-01,5.371729880000000179e-01,7.500026739999999803e-01,5.371730289999999686e-01,4.199332529999999705e-09,4.199332529999999705e-09,4.199332529999999705e-09,4.199332529999999705e-09,4.199332529999999705e-09,4.199332529999999705e-09,4.199332529999999705e-09,4.199332529999999705e-09,4.293881789999999974e-09,4.293880379999999690e-09
